house_number,area,usage_kwh,total_bill
# URBAN CATEGORY
1,Urban,1085,496.61
2,Urban,897,393.96
3,Urban,1064,485.14
4,Urban,1160,537.56
5,Urban,1085,496.61
6,Urban,1191,554.49
7,Urban,979,438.73
8,Urban,1013,457.3
9,Urban,906,398.88
10,Urban,831,357.93
11,Urban,1198,558.31
12,Urban,1152,533.19
13,Urban,736,306.06
14,Urban,660,264.56
16,Urban,1030,466.58
17,Urban,899,395.05
19,Urban,1023,462.76
21,Urban,695,283.67
22,Urban,829,356.83
23,Urban,937,415.8
24,Urban,1057,481.32
25,Urban,779,329.53
26,Urban,705,289.13
27,Urban,1075,491.15
30,Urban,862,374.85
31,Urban,753,315.34
34,Urban,757,317.52
35,Urban,1152,533.19
37,Urban,1076,491.7
38,Urban,1041,472.59
39,Urban,987,443.1
41,Urban,802,342.09
42,Urban,980,439.28
43,Urban,1106,508.08
44,Urban,714,294.04
45,Urban,737,306.6
47,Urban,1119,515.17
48,Urban,834,359.56
49,Urban,729,302.23
50,Urban,723,298.96
51,Urban,1069,487.87
52,Urban,714,294.04
53,Urban,806,344.28
54,Urban,773,326.26
55,Urban,975,436.55
56,Urban,992,445.83
57,Urban,817,350.28
59,Urban,1139,526.09
62,Urban,683,277.12
63,Urban,900,395.6
64,Urban,903,397.24
65,Urban,990,444.74
68,Urban,1075,491.15
70,Urban,709,291.31
71,Urban,812,347.55
72,Urban,1033,468.22
73,Urban,1127,519.54
74,Urban,845,365.57
75,Urban,894,392.32
76,Urban,1065,485.69
77,Urban,1197,557.76
78,Urban,839,362.29
79,Urban,662,265.65
80,Urban,850,368.3
81,Urban,983,440.92
83,Urban,919,405.97
84,Urban,900,395.6
85,Urban,998,449.11
86,Urban,724,299.5
87,Urban,1029,466.03
88,Urban,1046,475.32
89,Urban,804,343.18
90,Urban,1142,527.73
91,Urban,888,389.05
92,Urban,1180,548.48
93,Urban,724,299.5
94,Urban,931,412.53
95,Urban,660,264.56
96,Urban,807,344.82
97,Urban,688,279.85
98,Urban,855,371.03
99,Urban,794,337.72
100,Urban,1011,456.21
101,Urban,1156,535.38
103,Urban,882,385.77
105,Urban,816,349.74
106,Urban,755,316.43
107,Urban,770,324.62
108,Urban,873,380.86
110,Urban,669,269.47
111,Urban,820,351.92
112,Urban,840,362.84
113,Urban,1056,480.78
115,Urban,726,300.6
116,Urban,716,295.14
119,Urban,662,265.65
121,Urban,1057,481.32
122,Urban,699,285.85
123,Urban,670,270.02
124,Urban,651,259.65
125,Urban,669,269.47
126,Urban,1096,502.62
127,Urban,1188,552.85
128,Urban,1092,500.43
129,Urban,957,426.72
132,Urban,673,271.66
133,Urban,904,397.78
134,Urban,1042,473.13
135,Urban,838,361.75
136,Urban,1121,516.27
137,Urban,733,304.42
138,Urban,993,446.38
139,Urban,1090,499.34
140,Urban,772,325.71
141,Urban,930,411.98
142,Urban,905,398.33
143,Urban,866,377.04
144,Urban,939,416.89
145,Urban,963,430.0
146,Urban,873,380.86
148,Urban,762,320.25
150,Urban,816,349.74
151,Urban,820,351.92
152,Urban,942,418.53
153,Urban,1012,456.75
156,Urban,742,309.33
157,Urban,1106,508.08
158,Urban,1155,534.83
159,Urban,1035,469.31
160,Urban,768,323.53
161,Urban,1041,472.59
162,Urban,853,369.94
163,Urban,688,279.85
164,Urban,929,411.43
165,Urban,1046,475.32
166,Urban,1177,546.84
167,Urban,953,424.54
169,Urban,1133,522.82
170,Urban,806,344.28
171,Urban,888,389.05
172,Urban,1020,461.12
173,Urban,973,435.46
174,Urban,1180,548.48
175,Urban,941,417.99
176,Urban,950,422.9
177,Urban,761,319.71
178,Urban,767,322.98
179,Urban,1151,532.65
180,Urban,965,431.09
181,Urban,683,277.12
182,Urban,845,365.57
183,Urban,920,406.52
184,Urban,1154,534.28
186,Urban,839,362.29
187,Urban,1198,558.31
188,Urban,779,329.53
189,Urban,1112,511.35
191,Urban,802,342.09
192,Urban,759,318.61
193,Urban,693,282.58
194,Urban,1023,462.76
195,Urban,951,423.45
196,Urban,1134,523.36
197,Urban,1047,475.86
198,Urban,1000,450.2
199,Urban,861,374.31
200,Urban,848,367.21
201,Urban,744,310.42
202,Urban,1162,538.65
203,Urban,1173,544.66
204,Urban,709,291.31
206,Urban,804,343.18
207,Urban,987,443.1
208,Urban,1069,487.87
209,Urban,971,434.37
211,Urban,676,273.3
212,Urban,923,408.16
213,Urban,1019,460.57
214,Urban,940,417.44
215,Urban,922,407.61
216,Urban,656,262.38
217,Urban,716,295.14
219,Urban,1131,521.73
221,Urban,858,372.67
222,Urban,697,284.76
223,Urban,1091,499.89
224,Urban,1037,470.4
225,Urban,1105,507.53
226,Urban,1147,530.46
228,Urban,885,387.41
229,Urban,1192,555.03
230,Urban,909,400.51
231,Urban,1093,500.98
232,Urban,786,333.36
233,Urban,1061,483.51
234,Urban,698,285.31
235,Urban,1183,550.12
236,Urban,757,317.52
240,Urban,1112,511.35
242,Urban,751,314.25
244,Urban,1169,542.47
246,Urban,1093,500.98
248,Urban,1159,537.01
249,Urban,1191,554.49
250,Urban,850,368.3
251,Urban,921,407.07
252,Urban,1111,510.81
253,Urban,1059,482.41
254,Urban,1181,549.03
255,Urban,893,391.78
257,Urban,782,331.17
258,Urban,1076,491.7
260,Urban,796,338.82
261,Urban,670,270.02
264,Urban,933,413.62
265,Urban,901,396.15
266,Urban,1094,501.52
267,Urban,1105,507.53
268,Urban,1117,514.08
269,Urban,789,334.99
270,Urban,1130,521.18
271,Urban,769,324.07
272,Urban,942,418.53
273,Urban,850,368.3
274,Urban,1145,529.37
275,Urban,1084,496.06
276,Urban,882,385.77
278,Urban,1190,553.94
279,Urban,820,351.92
282,Urban,1095,502.07
283,Urban,1038,470.95
284,Urban,1069,487.87
285,Urban,1017,459.48
286,Urban,887,388.5
287,Urban,1146,529.92
288,Urban,861,374.31
289,Urban,1059,482.41
290,Urban,892,391.23
291,Urban,971,434.37
293,Urban,851,368.85
294,Urban,896,393.42
295,Urban,958,427.27
296,Urban,1159,537.01
297,Urban,730,302.78
298,Urban,1090,499.34
299,Urban,1079,493.33
300,Urban,906,398.88
301,Urban,901,396.15
302,Urban,804,343.18
303,Urban,679,274.93
304,Urban,894,392.32
305,Urban,827,355.74
306,Urban,681,276.03
307,Urban,1171,543.57
308,Urban,908,399.97
311,Urban,842,363.93
312,Urban,1008,454.57
313,Urban,1023,462.76
314,Urban,671,270.57
315,Urban,1200,559.4
317,Urban,806,344.28
318,Urban,872,380.31
319,Urban,773,326.26
